"line","mateA","mateB","genotype","RDH","n_bott","control","ploidy","petite"
"87x87","87",87,"homozygote","del",100,FALSE,"diploid",FALSE
"8","8",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"23x23","23",23,"homozygote","wt",0,TRUE,"diploid",TRUE
"7x7","7",7,"homozygote","del",100,FALSE,"diploid",FALSE
"114x93","114",93,"heterozygote","wt",87,FALSE,"diploid",FALSE
"15x67","15",67,"heterozygote","wt",100,FALSE,"diploid",FALSE
"27","27",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"108","108",NA,"haploid","wt",87,FALSE,"haploid",TRUE
"103","103",NA,"haploid","del",100,FALSE,"haploid",TRUE
"79","79",NA,"haploid","del",100,FALSE,"haploid",TRUE
"59","59",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"6","6",NA,"haploid","del",100,FALSE,"haploid",FALSE
"78","78",NA,"haploid","wt",100,FALSE,"haploid",TRUE
"82","82",NA,"haploid","wt",100,FALSE,"haploid",FALSE
"5x20","5",20,"heterozygote","wt",100,FALSE,"diploid",TRUE
"122x122","122",122,"homozygote","wt",87,FALSE,"diploid",TRUE
"118x93","118",93,"heterozygote","wt",0,TRUE,"diploid",FALSE
"16x16","16",16,"homozygote","del",100,FALSE,"diploid",FALSE
"26x26","26",26,"homozygote","del",100,FALSE,"diploid",TRUE
"62x67","62",67,"heterozygote","wt",100,FALSE,"diploid",TRUE
"9x46","9",46,"heterozygote","del",100,FALSE,"diploid",FALSE
"55x67","55",67,"heterozygote","wt",100,FALSE,"diploid",FALSE
"56x56","56",56,"homozygote","wt",100,FALSE,"diploid",TRUE
"107x107","107",107,"homozygote","del",100,FALSE,"diploid",FALSE
"47x47","47",47,"homozygote","del",0,TRUE,"diploid",FALSE
"124x20","124",20,"heterozygote","wt",87,FALSE,"diploid",TRUE
"17x17","17",17,"homozygote","del",100,FALSE,"diploid",TRUE
"42x42","42",42,"homozygote","wt",100,FALSE,"diploid",TRUE
"115","115",NA,"haploid","wt",0,TRUE,"haploid",FALSE
"94","94",NA,"haploid","del",0,TRUE,"haploid",TRUE
"14x14","14",14,"homozygote","del",100,FALSE,"diploid",FALSE
"44x44","44",44,"homozygote","wt",0,TRUE,"diploid",FALSE
"3","3",NA,"haploid","del",100,FALSE,"haploid",TRUE
