"day","machine","Well.ID","line","pipettor","note","file","mateA","mateB","genotype","RDH","n_bott","growth","Init_OD","OD_at_maxslope","time_at_maxslope","control","ploidy","plate","row","col"
1,2,"77","4","linnea","","day1.csv","4",NA,"haploid","del",100,0.24528376431493,0.2665,0.837,11,FALSE,"haploid","1",7,7
1,2,"78","93x67","linnea","","day1.csv","93","67","heterozygote","wt",0,0.252371356096459,0.256333333333333,0.911,15,TRUE,"diploid","1",8,7
1,2,"79","44x67","linnea","","day1.csv","44","67","heterozygote","wt",0,0.241046303284254,0.255,0.868,15,TRUE,"diploid","1",9,7
1,2,"80","89x135","linnea","","day1.csv","89","135","heterozygote","del",100,0.184992264676276,0.251333333333333,0.64,14.5,FALSE,"diploid","1",10,7
1,2,"81","8x93","linnea","","day1.csv","8","93","heterozygote","wt",100,0.207223547138424,0.258333333333333,0.687,13.5,FALSE,"diploid","1",1,8
1,2,"82","37x37","linnea","","day1.csv","37","37","homozygote","del",100,0.231577270834449,0.259833333333333,0.707,12.5,FALSE,"diploid","1",2,8
1,2,"83","96","linnea","","day1.csv","96",NA,"haploid","del",0,0.255115807348827,0.262833333333333,0.719,13,TRUE,"haploid","1",3,8
1,2,"84","89","linnea","","day1.csv","89",NA,"haploid","del",100,0.227605872099579,0.266,0.706,12.5,FALSE,"haploid","1",4,8
1,2,"85","61x61","linnea","","day1.csv","61","61","homozygote","del",100,0.221904383987392,0.2595,0.8,14,FALSE,"diploid","1",5,8
1,2,"86","125x125","linnea","","day1.csv","125","125","homozygote","wt",87,0.248079196599194,0.259333333333333,0.831,14.5,FALSE,"diploid","1",6,8
1,2,"87","10","linnea","","day1.csv","10",NA,"haploid","del",100,0.217343365957467,0.260833333333333,0.682,13.5,FALSE,"haploid","1",7,8
1,2,"88","62x62","linnea","","day1.csv","62","62","homozygote","wt",100,0.238240059843853,0.258333333333333,0.682,13,FALSE,"diploid","1",8,8
1,2,"89","71x96","linnea","","day1.csv","71","96","heterozygote","del",0,0.247452269108717,0.260666666666667,0.614,10,TRUE,"diploid","1",9,8
1,2,"90","126","linnea","","day1.csv","126",NA,"haploid","wt",87,0.240624527170219,0.258666666666667,0.712,13.5,FALSE,"haploid","1",10,8
1,2,"91","98x20","linnea","","day1.csv","98","20","heterozygote","wt",100,0.2095113924655,0.262666666666667,0.74,13,FALSE,"diploid","1",1,9
