Set,FACS_well,Sample,plate,OD,note,,,,,,,,,,,,,,
3,D9,128x95,1,na,,,,,,,,,,,,,,,
3,D10,129x129,1,na,,,,,,,,,,,,,,,
3,D11,129x136,1,na,,,,,,,,,,,,,,,
3,D12,130x130,1,na,,,,,,,,,,,,,,,
3,E1,130x95,1,na,,,,,,,,,,,,,,,
3,E2,131x131,1,na,,,,,,,,,,,,,,,
3,E3,131x134,1,na,,,,,,,,,,,,,,,
3,E4,133x133,1,na,,,,,,,,,,,,,,,
3,E5,133x92,1,na,,,,,,,,,,,,,,,
3,E6,134x134,1,na,,,,,,,,,,,,,,,
3,E7,134x48,1,na,,,,,,,,,,,,,,,
3,E8,135x135,1,na,,,,,,,,,,,,,,,
3,E9,135x134,1,na,,,,,,,,,,,,,,,
3,E10,136x136,1,na,,,,,,,,,,,,,,,
3,E11,136x92,1,na,,,,,,,,,,,,,,,
3,E12,7x7,1,na,,,,,,,,,,,,,,,
3,F1,11x11,1,na,,,,,,,,,,,,,,,
3,F2,26x26,1,na,,,,,,,,,,,,,,,
3,F3,26x134,1,na,,,,,,,,,,,,,,,
3,F4,49x49,1,na,,,,,,,,,,,,,,,
3,F5,57x48,1,na,,,,,,,,,,,,,,,
3,F6,78x78,1,na,,,,,,,,,,,,,,,
3,F7,87x87,1,na,,,,,,,,,,,,,,,
3,F8,87x95,1,na,,,,,,,,,,,,,,,
3,F9,91x92,1,na,,,,,,,,,,,,,,,
3,F10,99x99,1,na,,,,,,,,,,,,,,,
3,F11,99x134,1,na,,,,,,,,,,,,,,,
3,F12,101x136,1,na,,,,,,,,,,,,,,,
3,G1,104x92,1,na,,,,,,,,,,,,,,,
3,G2,a+1.1,1,na,,,,,,,,,,,,,,,
3,G3,a+1.2,1,na,,,,,,,,,,,,,,,
3,G4,a+1.3,1,na,,,,,,,,,,,,,,,
3,G5,alpha+1.1,1,na,,,,,,,,,,,,,,,
3,G6,alpha+1.2,1,na,,,,,,,,,,,,,,,
3,G7,alpha+1.3,1,na,,,,,,,,,,,,,,,
3,G8,dip+1.1,1,na,,,,,,,,,,,,,,,
3,G9,dip+1.2,1,na,,,,,,,,,,,,,,,
3,G10,dip+1.3,1,na,,,,,,,,,,,,,,,
3,G11,a-1.1,1,na,,,,,,,,,,,,,,,
