"sample","mateA","mateB","type","RDH","n_bott","petite","group"
"81x81","81",81,"homozygote","wt",100,TRUE,"MA"
"94","94",NA,"haploid","del",0,FALSE,"control"
"99x99","99",99,"homozygote","del",100,FALSE,"MA"
"96","96",NA,"haploid","del",0,FALSE,"control"
"17x17","17",17,"homozygote","del",100,TRUE,"MA"
"126x126","126",126,"homozygote","wt",87,FALSE,"MA"
"43x92","43",92,"heterozygote","wt",0,TRUE,"control"
"65","65",NA,"haploid","wt",100,FALSE,"MA"
"108x67","108",67,"heterozygote","wt",87,TRUE,"MA"
"102x67","102",67,"heterozygote","wt",100,TRUE,"MA"
"30x30","30",30,"homozygote","wt",100,TRUE,"MA"
"11","11",NA,"haploid","wt",100,FALSE,"MA"
"22x134","22",134,"heterozygote","del",0,FALSE,"control"
"29x29","29",29,"homozygote","del",100,FALSE,"MA"
"80","80",NA,"haploid","del",100,FALSE,"MA"
"80x134","80",134,"heterozygote","del",100,TRUE,"MA"
"16","16",NA,"haploid","del",100,FALSE,"MA"
"19x19","19",19,"homozygote","wt",0,TRUE,"control"
"35x35","35",35,"homozygote","del",100,FALSE,"MA"
"122x122","122",122,"homozygote","wt",87,TRUE,"MA"
"9x134","9",134,"heterozygote","del",100,FALSE,"MA"
"85","85",NA,"haploid","wt",100,FALSE,"MA"
"83","83",NA,"haploid","del",100,FALSE,"MA"
"40x48","40",48,"heterozygote","del",100,TRUE,"MA"
"65x65","65",65,"homozygote","wt",100,TRUE,"MA"
"99","99",NA,"haploid","del",100,FALSE,"MA"
"63","63",NA,"haploid","del",100,FALSE,"MA"
"68x68","68",68,"homozygote","wt",0,TRUE,"control"
"119x67","119",67,"heterozygote","wt",0,TRUE,"control"
"101x136","101",136,"heterozygote","wt",100,FALSE,"MA"
"66x66","66",66,"homozygote","wt",100,TRUE,"MA"
"14","14",NA,"haploid","del",100,FALSE,"MA"
"112x112","112",112,"homozygote","wt",87,TRUE,"MA"
"26x134","26",134,"heterozygote","del",100,FALSE,"MA"
"79","79",NA,"haploid","del",100,FALSE,"MA"
"120x120","120",120,"homozygote","del",0,TRUE,"control"
"107x107","107",107,"homozygote","del",100,TRUE,"MA"
"127","127",NA,"haploid","wt",87,TRUE,"MA"
"10x10","10",10,"homozygote","del",100,FALSE,"MA"
"42","42",NA,"haploid","wt",100,TRUE,"MA"
"77x77","77",77,"homozygote","del",100,FALSE,"MA"
"68","68",NA,"haploid","wt",0,FALSE,"control"
"133x133","133",133,"homozygote","wt",0,TRUE,"control"
"113x113","113",113,"homozygote","wt",87,TRUE,"MA"
"86x134","86",134,"heterozygote","del",100,FALSE,"MA"
"42x136","42",136,"heterozygote","wt",100,TRUE,"MA"
"5x5","5",5,"homozygote","wt",100,TRUE,"MA"
"18x18","18",18,"homozygote","wt",100,TRUE,"MA"
"55","55",NA,"haploid","wt",100,FALSE,"MA"
"54","54",NA,"haploid","del",100,FALSE,"MA"
"120x95","120",95,"heterozygote","del",0,TRUE,"control"
"114x92","114",92,"heterozygote","wt",87,TRUE,"MA"
"39x92","39",92,"heterozygote","wt",100,TRUE,"MA"
"3","3",NA,"haploid","del",100,FALSE,"MA"
"101","101",NA,"haploid","wt",100,FALSE,"MA"
"44x136","44",136,"heterozygote","wt",0,TRUE,"control"
"11x92","11",92,"heterozygote","wt",100,TRUE,"MA"
"74x74","74",74,"homozygote","del",100,TRUE,"MA"
"94x48","94",48,"heterozygote","del",0,FALSE,"control"
"109x109","109",109,"homozygote","wt",87,TRUE,"MA"
"48","48",NA,"haploid","del",0,FALSE,"control"
"103x103","103",103,"homozygote","del",100,FALSE,"MA"
"105x105","105",105,"homozygote","wt",100,TRUE,"MA"
"71x71","71",71,"homozygote","del",0,TRUE,"control"
"115x92","115",92,"heterozygote","wt",0,TRUE,"control"
"38x38","38",38,"homozygote","del",100,TRUE,"MA"
"64x64","64",64,"homozygote","del",100,FALSE,"MA"
"51x67","51",67,"heterozygote","wt",100,TRUE,"MA"
"97x97","97",97,"homozygote","wt",100,TRUE,"MA"
"7x7","7",7,"homozygote","del",100,FALSE,"MA"
"70x48","70",48,"heterozygote","del",0,TRUE,"control"
"97x67","97",67,"heterozygote","wt",100,TRUE,"MA"
"51","51",NA,"haploid","wt",100,FALSE,"MA"
"1x1","1",1,"homozygote","wt",100,TRUE,"MA"
"111x111","111",111,"homozygote","wt",87,TRUE,"MA"
"71","71",NA,"haploid","del",0,FALSE,"control"
"49","49",NA,"haploid","del",100,FALSE,"MA"
"114x114","114",114,"homozygote","wt",87,TRUE,"MA"
"61x61","61",61,"homozygote","del",100,FALSE,"MA"
"120","120",NA,"haploid","del",0,FALSE,"control"
