"Line.ID","dataset","machine","day","plate","initOD","finalOD","maxSlope","OD_maxSlope","time_maxSlope","finalTime","mateA","mateB","genotype","ploidy","RDH","petite","MA","KO","plasmidTransformed"
"64x134","Sep2019",1,1,1,0.219,1.06066666666667,0.156998805611597,0.6,16,21,"64",134,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"103x48","Sep2019",1,1,1,0.224166666666667,1.116,0.253927485477368,0.555,9,21,"103",48,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"136","Sep2019",1,1,1,0.225333333333333,1.19033333333333,0.271470632629001,0.55,8,21,"136",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,FALSE
"134x48","Sep2019",1,1,1,0.215,1.10833333333333,0.260552876002462,0.572,9,21,"134",48,"heterozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"125","Sep2019",1,1,1,0.218666666666667,1.17366666666667,0.289766750277698,0.561,9.5,21,"125",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"48x48","Sep2019",1,1,1,0.2095,1.11133333333333,0.213838897356045,0.553,11,21,"48",48,"homozygote","diploid","del",TRUE,FALSE,TRUE,TRUE
"75","Sep2019",1,1,1,0.2205,1.16433333333333,0.273824980190351,0.573,8,21,"75",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"121","Sep2019",1,1,1,0.215666666666667,1.193,0.277779879848117,0.529,8,21,"121",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"36x36","Sep2019",1,1,1,0.204833333333333,1.14266666666667,0.230143955509687,0.541,11,21,"36",36,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"90","Sep2019",1,1,1,0.213333333333333,1.19366666666667,0.274457276688844,0.587,8.5,21,"90",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"36x67","Sep2019",1,1,1,0.216166666666667,1.11816666666667,0.206245783473946,0.592,11.5,21,"36",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"60x60","Sep2019",1,1,1,0.215666666666667,1.10883333333333,0.260278585678675,0.548,9.5,21,"60",60,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"88","Sep2019",1,1,1,0.231833333333333,1.19566666666667,0.26536365504426,0.575,8,21,"88",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"56x56","Sep2019",1,1,1,0.213166666666667,1.12466666666667,0.217334862984142,0.545,11,21,"56",56,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"51x51","Sep2019",1,1,1,0.213666666666667,1.09,0.231030426683931,0.581,10.5,21,"51",51,"homozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"100x95","Sep2019",1,1,1,0.214666666666667,1.13666666666667,0.217086806703071,0.59,10.5,21,"100",95,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"23x67","Sep2019",1,1,1,0.206333333333333,1.13033333333333,0.224762909961651,0.543,11,21,"23",67,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"136x92","Sep2019",1,1,1,0.204,1.135,0.230128565276155,0.588,11.5,21,"136",92,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"61","Sep2019",1,1,1,0.214333333333333,1.198,0.277472990622973,0.576,8.5,21,"61",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"72x95","Sep2019",1,1,1,0.199166666666667,1.04433333333333,0.208590374917161,0.576,13.5,21,"72",95,"heterozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"1x67","Sep2019",1,1,1,0.220833333333333,1.13366666666667,0.208074986168816,0.55,11.5,21,"1",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"108","Sep2019",1,1,1,0.229666666666667,1.16666666666667,0.259702994870326,0.643,9,21,"108",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"74x48","Sep2019",1,1,1,0.223166666666667,1.13033333333333,0.205593496574452,0.636,11.5,21,"74",48,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"110","Sep2019",1,1,1,0.242666666666667,1.21133333333333,0.260009714136977,0.553,7.5,21,"110",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"78x78","Sep2019",1,1,1,0.215833333333333,1.09633333333333,0.249974570393219,0.587,9,21,"78",78,"homozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"34x95","Sep2019",1,1,1,0.2175,1.15,0.187552232311372,0.65,11.5,21,"34",95,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"20x20","Sep2019",1,1,1,0.216833333333333,1.1245,0.218853444278189,0.567,10.5,21,"20",20,"homozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"55x55","Sep2019",1,1,1,0.2085,1.114,0.224498381062865,0.524,11,21,"55",55,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"117x134","Sep2019",1,1,1,0.202833333333333,1.09766666666667,0.270624749526549,0.588,9.5,21,"117",134,"heterozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"43","Sep2019",1,1,1,0.224333333333333,1.18533333333333,0.280438590388732,0.551,7.5,21,"43",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,FALSE
"85x85","Sep2019",1,1,2,0.226166666666667,1.16433333333333,0.205816949711002,0.585,11,21,"85",85,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"86x86","Sep2019",1,1,2,0.2045,1.11433333333333,0.205013068682591,0.576,12,21,"86",86,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"134","Sep2019",1,1,2,0.2245,1.25516666666667,0.266888672195709,0.591,8,21,"134",NA,"haploid","haploid","del",FALSE,FALSE,TRUE,FALSE
"35","Sep2019",1,1,2,0.227,1.32266666666667,0.260512245808808,0.569,8,21,"35",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"105","Sep2019",1,1,2,0.215166666666667,1.18466666666667,0.271006258617534,0.585,8.5,17.75,"105",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,FALSE
"42x42","Sep2019",1,1,2,0.206333333333333,1.12433333333333,0.238437241079081,0.499,10,18.5,"42",42,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"104x104","Sep2019",1,1,2,0.209166666666667,1.11583333333333,0.268430238659079,0.53,8.5,21,"104",104,"homozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"131","Sep2019",1,1,2,0.218166666666667,1.20166666666667,0.278299115691327,0.539,8,21,"131",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,FALSE
"119x119","Sep2019",1,1,2,0.203,1.108,0.270993790590923,0.521,9,21,"119",119,"homozygote","diploid","wt",FALSE,FALSE,TRUE,TRUE
"28x28","Sep2019",1,1,2,0.204,1.3965,0.215824434474099,0.533,11.5,21,"28",28,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
