"Line.ID","dataset","machine","day","Plate","initOD","finalOD","maxSlope","OD_maxSlope","time_maxSlope","finalTime","mateA","mateB","genotype","ploidy","RDH","petite","MA","KO","plasmidTransformed"
"64x64","Jan2020",2,1,1,0.258,1.23583333333333,0.253086672008518,0.583,9.5,22.25,"64",64,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"134x134","Jan2020",2,1,1,0.256833333333333,1.18866666666667,0.238555296797061,0.806,14,22.25,"134",134,"homozygote","diploid","del",TRUE,FALSE,TRUE,TRUE
"134x135","Jan2020",2,1,1,0.2555,1.08833333333333,0.278337126752293,0.593,11.5,22.25,"134",135,"heterozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"57","Jan2020",2,1,1,0.260833333333333,1.18066666666667,0.231889979757094,0.709,13,22.25,"57",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"32x96","Jan2020",2,1,1,0.2575,1.21933333333333,0.221626161284183,0.589,11.5,22.25,"32",96,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"86x46","Jan2020",2,1,1,0.2605,1.23183333333333,0.238220615017548,0.571,9.5,22.25,"86",46,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"86x46","Jan2020",2,1,2,0.256833333333333,1.186,0.22736946934665,0.71,13,22.25,"86",46,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"113x93","Jan2020",2,1,1,0.257,1.193,0.206095803234607,0.697,13.5,22.25,"113",93,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"54x96","Jan2020",2,1,1,0.263666666666667,1.21433333333333,0.243066306246376,0.768,14,22.25,"54",96,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"88x88","Jan2020",2,1,1,0.259666666666667,1.19466666666667,0.25978180973607,0.831,15,22.25,"88",88,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"45x67","Jan2020",2,1,1,0.260666666666667,1.23833333333333,0.247399962235995,0.675,10.5,22.25,"45",67,"heterozygote","diploid","wt",FALSE,FALSE,TRUE,TRUE
"45x67","Jan2020",2,1,2,0.262666666666667,1.26233333333333,0.252144741275107,0.602,9.5,22.25,"45",67,"heterozygote","diploid","wt",FALSE,FALSE,TRUE,TRUE
"12x12","Jan2020",2,1,1,0.258333333333333,1.17033333333333,0.253245527812029,0.678,13,22.25,"12",12,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"12x12","Jan2020",2,1,2,0.260166666666667,1.49483333333333,0.225413451648837,0.625,12.5,22.25,"12",12,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"136","Jan2020",2,1,1,0.261666666666667,1.26816666666667,0.256689838420976,0.817,11.5,22.25,"136",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,TRUE
"136","Jan2020",2,1,2,0.259666666666667,1.308,0.267479992607789,0.811,11,22.25,"136",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,TRUE
"101x101","Jan2020",2,1,1,0.2565,1.19416666666667,0.246276308873972,0.685,13.5,22.25,"101",101,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"72x72","Jan2020",2,1,1,0.2555,1.23066666666667,0.254561884738269,0.57,9.5,22.25,"72",72,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"35","Jan2020",2,1,1,0.2615,1.225,0.247109867498874,0.742,13.5,22.25,"35",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"56","Jan2020",2,1,1,0.2645,1.255,0.24290126472426,0.705,13,22.25,"56",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
"123","Jan2020",2,1,1,0.263,1.307,0.255331405007997,0.832,11.5,22.25,"123",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,TRUE
"91","Jan2020",2,1,1,0.267166666666667,1.33966666666667,0.256569854814592,0.708,10,22.25,"91",NA,"haploid","haploid","wt",FALSE,FALSE,TRUE,TRUE
"126x126","Jan2020",2,1,1,0.2615,1.21633333333333,0.25933576610071,0.574,9.5,22.25,"126",126,"homozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"104x104","Jan2020",2,1,1,0.258333333333333,1.22833333333333,0.24384620036233,0.695,13.5,22.25,"104",104,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"4","Jan2020",2,1,1,0.2665,1.28733333333333,0.24528376431493,0.837,11,22.25,"4",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,TRUE
"44x67","Jan2020",2,1,1,0.255,1.18566666666667,0.241046303284254,0.868,15,22.25,"44",67,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"89x135","Jan2020",2,1,1,0.251333333333333,1.15133333333333,0.184992264676276,0.64,14.5,22.25,"89",135,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"8x93","Jan2020",2,1,1,0.258333333333333,1.19266666666667,0.207223547138424,0.687,13.5,22.25,"8",93,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"8x93","Jan2020",2,1,2,0.257166666666667,1.4785,0.22768261723205,0.649,13,22.25,"8",93,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"37x37","Jan2020",2,1,1,0.259833333333333,1.161,0.231577270834449,0.707,12.5,22.25,"37",37,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"96","Jan2020",2,1,1,0.262833333333333,1.264,0.255115807348827,0.719,13,22.25,"96",NA,"haploid","haploid","del",TRUE,FALSE,TRUE,TRUE
"96","Jan2020",2,1,2,0.264833333333333,1.498,0.251015483887507,0.778,13,22.25,"96",NA,"haploid","haploid","del",TRUE,FALSE,TRUE,TRUE
"89","Jan2020",2,1,1,0.266,1.26833333333333,0.227605872099579,0.706,12.5,22.25,"89",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"89","Jan2020",2,1,2,0.261,1.25783333333333,0.214596513845033,0.667,12.5,22.25,"89",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"61x61","Jan2020",2,1,1,0.2595,1.20366666666667,0.221904383987392,0.8,14,22.25,"61",61,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"61x61","Jan2020",2,1,2,0.258166666666667,1.31983333333333,0.204977118076211,0.643,13.5,22.25,"61",61,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"125x125","Jan2020",2,1,1,0.259333333333333,1.21166666666667,0.248079196599194,0.831,14.5,22.25,"125",125,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"10","Jan2020",2,1,1,0.260833333333333,1.23983333333333,0.217343365957467,0.682,13.5,22.25,"10",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"62x62","Jan2020",2,1,1,0.258333333333333,1.211,0.238240059843853,0.682,13,22.25,"62",62,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"126","Jan2020",2,1,1,0.258666666666667,1.231,0.240624527170219,0.712,13.5,22.25,"126",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
"98x20","Jan2020",2,1,1,0.262666666666667,1.20466666666667,0.2095113924655,0.74,13,22.25,"98",20,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"112x112","Jan2020",2,1,1,0.262,1.216,0.249364654658635,0.689,13,22.25,"112",112,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"79x96","Jan2020",2,1,1,0.255166666666667,1.18166666666667,0.244511727473529,0.769,13,22.25,"79",96,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"53x96","Jan2020",2,1,1,0.255833333333333,0.819166666666667,0.116721265519537,0.589,18.5,22.25,"53",96,"heterozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"35x46","Jan2020",2,1,1,0.259333333333333,1.202,0.237582247020196,0.636,13.5,22.25,"35",46,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"102x67","Jan2020",2,1,1,0.255666666666667,1.18566666666667,0.225829546768308,0.594,13.5,22.25,"102",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"102x67","Jan2020",2,1,2,0.258166666666667,1.37116666666667,0.221604361930194,0.726,13,22.25,"102",67,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"38x46","Jan2020",2,1,1,0.255166666666667,1.186,0.229406536245147,0.689,14,22.25,"38",46,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"35x35","Jan2020",2,1,1,0.255166666666667,1.16433333333333,0.216644096839857,0.6,13.5,22.25,"35",35,"homozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"83x46","Jan2020",2,1,2,0.263833333333333,1.25233333333333,0.257886445620414,0.666,9.5,22.25,"83",46,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"83x46","Jan2020",2,1,2,0.2575,1.236,0.263696542390779,0.573,9.5,22.25,"83",46,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"112x93","Jan2020",2,1,2,0.257,1.20766666666667,0.220438485279417,0.708,13,22.25,"112",93,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"17","Jan2020",2,1,2,0.264833333333333,1.5055,0.260074455360471,0.615,9.5,22.25,"17",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,TRUE
"17","Jan2020",2,1,2,0.264166666666667,1.30366666666667,0.258576020334411,0.625,9.5,22.25,"17",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,TRUE
"16x46","Jan2020",2,1,2,0.257333333333333,1.19583333333333,0.223095053891731,0.578,13.5,22.25,"16",46,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"16x46","Jan2020",2,1,2,0.2565,1.2245,0.217399602014945,0.63,13.5,22.25,"16",46,"heterozygote","diploid","del",TRUE,TRUE,TRUE,TRUE
"109x109","Jan2020",2,1,2,0.260166666666667,1.18266666666667,0.244476176883279,0.747,14.5,22.25,"109",109,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"29","Jan2020",2,1,2,0.261,1.522,0.2463840711453,0.726,13,22.25,"29",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"89x89","Jan2020",2,1,2,0.253666666666667,1.20133333333333,0.259954023607012,0.623,11,22.25,"89",89,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"89x89","Jan2020",2,1,2,0.252666666666667,1.2275,0.259676396613395,0.636,11,22.25,"89",89,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"27x27","Jan2020",2,1,2,0.258166666666667,1.16666666666667,0.218727679371367,0.624,13.5,22.25,"27",27,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"27x27","Jan2020",2,1,2,0.257,1.202,0.224054364933446,0.606,13.5,22.25,"27",27,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"76","Jan2020",2,1,2,0.278333333333333,1.28366666666667,0.217651460932,0.662,11,22.25,"76",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"95x95","Jan2020",2,1,2,0.2565,1.21633333333333,0.249153163675575,0.725,11,22.25,"95",95,"homozygote","diploid","del",FALSE,FALSE,TRUE,TRUE
"93","Jan2020",2,1,2,0.2585,1.44033333333333,0.251820144697712,0.707,13,22.25,"93",NA,"haploid","haploid","wt",TRUE,FALSE,TRUE,TRUE
"23x20","Jan2020",2,1,2,0.257833333333333,1.14333333333333,0.225527970115769,0.631,14.5,22.25,"23",20,"heterozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"102x102","Jan2020",2,1,2,0.258833333333333,1.50866666666667,0.212244122649308,0.709,13,22.25,"102",102,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"101x20","Jan2020",2,1,2,0.258666666666667,1.5285,0.221050773832609,0.739,13,22.25,"101",20,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"87x87","Jan2020",2,1,2,0.254166666666667,1.23883333333333,0.25467093374143,0.62,10,22.25,"87",87,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"8","Jan2020",2,1,2,0.260833333333333,1.34633333333333,0.233252801895567,0.755,13,22.25,"8",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
"8","Jan2020",2,1,2,0.262333333333333,1.52433333333333,0.252873493336581,0.742,13,22.25,"8",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
"23x23","Jan2020",2,1,2,0.260833333333333,1.38,0.23313362774724,0.633,13,22.25,"23",23,"homozygote","diploid","wt",TRUE,FALSE,TRUE,TRUE
"7x7","Jan2020",2,1,2,0.259166666666667,1.15533333333333,0.288118790159331,0.609,11.5,22.25,"7",7,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"7x7","Jan2020",2,1,2,0.2595,1.164,0.291055044293609,0.595,11,22.25,"7",7,"homozygote","diploid","del",FALSE,TRUE,TRUE,TRUE
"114x93","Jan2020",2,1,2,0.2555,1.23633333333333,0.268650186419084,0.612,9.5,22.25,"114",93,"heterozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"15x67","Jan2020",2,1,2,0.256333333333333,1.26416666666667,0.254579391201215,0.625,10,22.25,"15",67,"heterozygote","diploid","wt",FALSE,TRUE,TRUE,TRUE
"27","Jan2020",2,1,2,0.260333333333333,1.48333333333333,0.24084411258396,0.669,12.5,22.25,"27",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
"108","Jan2020",2,1,2,0.259166666666667,1.45316666666667,0.238783082104343,0.667,12.5,22.25,"108",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
"103","Jan2020",2,1,2,0.262,1.366,0.255179548236395,0.731,13,22.25,"103",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"103","Jan2020",2,1,2,0.256166666666667,1.3165,0.262607900305967,0.722,13,22.25,"103",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"79","Jan2020",2,1,2,0.269833333333333,1.42866666666667,0.229937014514792,0.67,13.5,22.25,"79",NA,"haploid","haploid","del",TRUE,TRUE,TRUE,TRUE
"59","Jan2020",2,1,2,0.264,1.50883333333333,0.249165096743997,0.735,13.5,22.25,"59",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
"6","Jan2020",2,1,2,0.2635,1.4795,0.27527285658413,0.678,10,22.25,"6",NA,"haploid","haploid","del",FALSE,TRUE,TRUE,TRUE
"78","Jan2020",2,1,2,0.2545,1.222,0.20585753701674,0.649,13.5,22.25,"78",NA,"haploid","haploid","wt",TRUE,TRUE,TRUE,TRUE
"82","Jan2020",2,1,2,0.259,1.28733333333333,0.263494358881955,0.639,10,22.25,"82",NA,"haploid","haploid","wt",FALSE,TRUE,TRUE,TRUE
"5x20","Jan2020",2,1,2,0.26,1.44316666666667,0.22006780217021,0.766,13,22.25,"5",20,"heterozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"122x122","Jan2020",2,1,2,0.262666666666667,1.27883333333333,0.225571656925494,0.66,13.5,22.25,"122",122,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"122x122","Jan2020",2,1,2,0.258166666666667,1.19,0.215873075259942,0.659,13.5,22.25,"122",122,"homozygote","diploid","wt",TRUE,TRUE,TRUE,TRUE
"118x93","Jan2020",2,1,2,0.256666666666667,1.24216666666667,0.260932377832424,0.596,9.5,22.25,"118",93,"heterozygote","diploid","wt",FALSE,FALSE,TRUE,TRUE
